Promax,Código SAP,Rede Código,CNPJ,Inplant,Rede,CDD,EG DV,Nome,UNB,PDV,Segunda,Terça,Quarta,Quinta,Sexta,Sábado,LAT,LONG,SETOR,LATITUDE,LONGITUDE,Lead Cadastrado,D2,Freq Entrega,Segunda.1,Terça.1,Quarta.1,Quinta.1,Sexta.1,Sábado.1,Entregas Mês,entregas TT,Mix,Vol,Verticalizado ,TT Entrega Cx,Pontuação Entrega,Perfil ,Cx Perfil,Devolução,Corte CDD,Pallet TT Entrega L3M,Pallet Entregue L3M ,Mix Exp Mês,Mix Entregue Mês,Pontuação Mês,HL Entregue,Ponto/hl,Pedído Mínimo (hL),Pedído Mínimo (Pallet),Pedído Mínimo (Pontuação),Pedído Mínimo (CX)
4585,10038414,1964,24118896000176,Renato Bocardi,Amarreto,CUI,939560,Amaretto Emporio,455,4585,0,0,0,1,0,0,-15.513475000000001,-56.179134999999995,Sem setor cadastrado,-16.473168,-54.605605,2,Não ,1,0,0,0,0,1,0,6.3999999999999995,19,1.2719834328932487,27.28894736842105,1.3157894736842106,108.68646207625329,1121.5757368421052,VUC,252,0.0,0.21358174699608481,2.587772906577461,1.9279188260252336,8.055895074990575,8.055895074990575,5303.72565146867,129.21666666666658,41.1,21.0,2.0,863.1,84.0
9529,10024902,395,6057223029153,Paulo Augusto Gama da Silva,Assai Comercial E Importadora Ltda,CUI,788171,Assai Coxipo,455,9529,1,1,1,1,1,1,-15.62934,-56.05272,102 - Cuiabá,-15.62934,-56.05272,0,Não ,6,0,0,0,0,1,0,6.0,18,1.866341896783149,51.57722222222226,2.8333333333333335,197.38635966489227,1861.9377222222238,VUC,252,0.035980868645979686,0.13327373194454906,4.699675230116481,3.854525267142371,11.198051380698894,11.198051380698894,9308.742943001655,258.5633333333335,36.1,43.7,3.9,1577.5700000000002,163.79999999999998
16921,10038756,395,6057223044462,Paulo Augusto Gama da Silva,Assai Comercial E Importadora Ltda,CUI,945129,Assai Rondonopolis 2,455,16921,1,1,1,1,1,1,-16.448226666666667,-54.62303,Sem setor cadastrado,-16.453161,-54.654232,1,Não ,6,0,0,0,0,1,0,3.4,10,2.7544776524372807,191.02799999999974,14.1,707.8880614023658,1585.5323999999976,Carreta,1176,0.01907327293010097,0.0007328768557488966,16.854477652437275,16.23923223170894,9.181592174790936,9.181592174790936,5075.602434351267,612.5499999999992,8.299999999999999,111.0,10.0,921.2999999999998,420.0
9530,10024849,395,6057223028262,Paulo Augusto Gama da Silva,Assai Comercial E Importadora Ltda,CUI,788201,Assai Cristo Rei,455,9530,1,1,1,1,1,1,-15.6385048,-56.1020352,101 - Várzea Grande,-15.63845,-56.10094,0,Não ,6,0,0,0,0,1,0,5.0,15,2.192441567547936,70.33200000000002,4.333333333333333,274.0825458370133,2363.155200000001,Toco,336,0.025084858830223468,0.00954520464842935,6.525774900881264,6.301395741967943,10.962207837739678,10.962207837739678,11397.799110558795,339.78000000000014,33.6,69.1,6.3999999999999995,2321.7599999999998,268.79999999999995
45612,10035528,395,6057223041870,Paulo Augusto Gama da Silva,Assai Comercial E Importadora Ltda,CUI,911828,Assai Sinop,455,45612,1,1,1,1,1,1,-11.8544361,-55.4958324,Sem setor cadastrado,-11.853249,-55.494382,2,Não ,6,1,1,1,1,1,1,5.699999999999999,17,2.2730654816401064,147.82529411764665,10.882352941176471,552.5275737582963,2173.0318235294058,Bi-Truck,588,0.02090206198790209,0.059931636311544405,13.155418422816583,10.14304137379083,12.880704395960601,12.880704395960601,9511.896920357065,649.6966666666652,14.7,112.39999999999999,10.0,1652.2799999999997,420.0
16758,10037761,395,6057223042508,Paulo Augusto Gama da Silva,Assai Comercial E Importadora Ltda,CUI,932981,Assai Jd Das Americas,455,16758,1,1,1,1,1,1,-15.60767937451601,-56.07778717763722,102 - Cuiabá,-15.607679,-56.077787,0,Não ,6,1,1,1,1,1,1,4.699999999999999,14,1.845647194297373,73.52071428571428,4.857142857142857,281.51718216048965,1617.455714285714,Toco,336,0.005416321337271062,0.15154135374870056,6.702790051440227,5.624889295733349,8.613020240054407,8.613020240054407,6254.164178728665,285.5566666666666,22.0,61.6,5.699999999999999,1355.2,239.39999999999998
9531,10024848,395,6057223029072,Paulo Augusto Gama da Silva,Assai Comercial E Importadora Ltda,CUI,788210,Assai Rondonopolis,455,9531,1,1,1,1,1,1,-16.4657683,-54.6443372,Sem setor cadastrado,-16.465792,-54.643809,1,Não ,6,1,1,1,1,1,1,4.699999999999999,14,1.7207127057848,91.47142857142853,6.428571428571429,342.26993364296163,1106.8042857142852,Truck,420,0.01958805928606221,0.05649695455255351,8.14928413435623,7.298861237414367,8.029992626995734,8.029992626995734,4615.797515094341,383.22666666666663,12.1,81.6,7.3,987.3599999999999,306.59999999999997
16785,10037958,395,6057223044039,Paulo Augusto Gama da Silva,Assai Comercial E Importadora Ltda,CUI,934976,Sendas Distribuidora S/A,455,16785,1,1,1,1,1,1,-15.6671929,-55.9739388,Sem setor cadastrado,-15.667222,-55.973953,0,Não ,6,1,1,1,1,1,1,5.0,15,0.4277294685990338,144.53933333333305,12.533333333333333,544.3646376811595,274.6247333333328,Bi-Truck,588,0.012303888381950404,0.04825906673615958,12.961062801932366,12.153806566104702,2.1386473429951693,2.1386473429951693,1255.722500739426,679.4599999999982,1.9000000000000001,111.89999999999999,10.0,212.60999999999999,420.0
91722,10037084,1961,9364747000284,Renato Bocardi,Atacado Mendonca,CUI,926400,Atacado Mendonca.,455,91722,1,1,1,1,1,1,-15.64593,-56.18495,101 - Várzea Grande,-15.64593,-56.18495,0,Não ,6,1,1,1,1,1,1,14.7,44,0.7069241858273481,80.50227272727248,6.590909090909091,306.50899762293045,394.46113636363515,Toco,336,0.04593988799245545,0.06752491459868462,7.297833276736435,6.304450642995248,10.368221392134439,10.368221392134439,4967.940840123759,1032.0733333333303,4.8999999999999995,71.3,6.3999999999999995,349.36999999999995,268.79999999999995
51454,10014269,465,73909400000198,Renato Bocardi,Big Lar,CUI,164380,Big Lar Varzea Grande,455,51454,0,0,1,0,1,0,-15.64905,-56.13921,101 - Várzea Grande,-15.64905,-56.13921,0,Não ,2,1,1,1,1,1,1,9.7,29,0.631740755971855,6.378620689655174,0.0,26.53311175081791,585.5573793103449,Van,84,0.10280106024786863,0.16261217428911223,0.631740755971855,0.46981353187874925,6.106827307727932,6.106827307727932,4267.294135059626,46.53000000000004,91.8,5.199999999999999,0.5,477.3599999999999,21.0
